costat,curcd,datafmt,indfmt,consol,cik,datadate,gvkey,conm,tic,cusip,exchg,fyr,fic,busdesc,city,conml,county,fyrc,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,spcsrc,stko
A,USD,STD,INDL,C,1133416.0,2023-12-31,150221,GALECTIN THERAPEUTICS INC,GALT,363225202,14.0,12,USA,"Galectin Therapeutics Inc., a clinical stage biopharmaceutical company, engages in the drug research and development to create new therapies for fibrotic, cancer, and other diseases.",Norcross,Galectin Therapeutics Inc,,12,3520.0,352010.0,35.0,35201010.0,325412.0,2834,,,C,0.0
A,USD,STD,INDL,C,921638.0,2024-12-31,26768,SSR MINING INC,SSRM,784730103,14.0,12,CAN,"SSR Mining Inc., together with its subsidiaries, engages in the acquisition, exploration, and development of precious metal resource properties in the United States, Turkiye, Canada, and Argentina. The company explores for gold dore, copper, silver, lead, and zinc deposits.",Denver,SSR Mining Inc,,12,1510.0,151040.0,15.0,15104030.0,212220.0,1040,850.0,800.0,B-,0.0
A,USD,STD,INDL,C,1055726.0,2015-12-31,66697,INOVIO PHARMACEUTICALS INC,INO,45773H409,14.0,12,USA,"Inovio Pharmaceuticals, Inc., a biotechnology company, focuses on the discovery, development, and commercialization of DNA medicines to treat and protect people from diseases associated with human papillomavirus (HPV), cancer, and infectious diseases.",Plymouth Meeting,Inovio Pharmaceuticals Inc,,12,3520.0,352010.0,35.0,35201010.0,325414.0,2836,300.0,905.0,C,0.0
A,USD,STD,INDL,C,1588871.0,2023-12-31,41755,OAKWORTH CAPITAL INC,OAKC,67418C108,19.0,12,USA,Oakworth Capital Inc. operates as a bank holding company for Oakworth Capital Bank that provides range of banking services in the United States.,Birmingham,Oakworth Capital Inc,,12,4010.0,401010.0,40.0,40101010.0,522110.0,6021,,,,3.0
A,USD,STD,INDL,C,,2016-06-30,165572,SPDR PORTFOL S&P 400 MD ETF,SPMD,78464A847,17.0,6,USA,"SPDR Series Trust - SPDR Portfolio S&P 400 Mid Cap ETF is an exchange traded fund launched by State Street Global Advisors, Inc. It is managed by SSGA Funds Management, Inc. The fund invests in public equity markets of the United States.",Boston,SPDR Portfolio S&P 400 Mid Cap ETF,,6,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,315709.0,2003-12-31,22086,INTL BANCSHARES CORP,IBOC,459044103,14.0,12,USA,"International Bancshares Corporation, a multibank financial holding company, provides a range of commercial and retail banking services in Texas and the State of Oklahoma.",Laredo,International Bancshares Corp,,12,4010.0,401010.0,40.0,40101015.0,522110.0,6020,817.0,800.0,A,0.0
A,USD,STD,INDL,C,73960.0,2001-12-31,107682,OHIO EDISON CO,FE1,677347007,0.0,12,USA,"Ohio Edison Company provides electric services to customers in Ohio. It is involved in the distribution and retail sale of electricity to residential, commercial, and industrial customers. The company was incorporated in 1930 and is based in Akron, Ohio.",Akron,Ohio Edison Co,,12,5510.0,551010.0,55.0,55101010.0,22111.0,4911,705.0,700.0,,1.0
A,USD,STD,INDL,C,1048268.0,2013-09-30,66371,IES HOLDINGS INC,IESC,44951W106,14.0,9,USA,"IES Holdings, Inc. designs and installs integrated electrical and technology systems, and provides infrastructure products and services in the United States.",Houston,IES Holdings Inc,,9,2010.0,201030.0,20.0,20103010.0,238210.0,1731,240.0,925.0,B-,0.0
A,USD,STD,INDL,C,1504379.0,2015-12-31,170758,CAESARSTONE LTD,CSTE,M20598104,14.0,12,ISR,"Caesarstone Ltd., together with its subsidiaries, designs, develops, manufactures, and sells engineered stone and porcelain products under Caesarstone and other brands in the United States, Canada, Latin America, Australia, Asia, Europe, the Middle East and Africa, and Israel.",Menashe,Caesarstone Ltd,,12,2010.0,201020.0,20.0,20102010.0,327991.0,3281,,,C,0.0
A,USD,STD,INDL,C,1066923.0,2024-12-31,149379,FUTURE FINTECH GROUP INC,FTFT,36117V303,14.0,12,USA,"Future FinTech Group Inc., through its subsidiaries, engages in supply-chain financing services and trading businesses in the People's Republic of China.",New York,Future FinTech Group Inc,,12,4020.0,402010.0,40.0,40201040.0,5222.0,6159,,,C,0.0
A,USD,STD,INDL,C,,2024-12-31,45622,LSV DISCIPLINED VALUE ETF,LSVD,0075W0155,17.0,12,USA,The Advisors' Inner Circle Fund - LSV Disciplined Value ETF is an exchange traded fund launched by Advisors' Inner Circle Fund. The fund is managed by LSV Asset Management. It invests in public equity markets. The fund invests in stocks of companies operating across diversified sectors.,Chicago,LSV Disciplined Value ETF,,12,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,917273.0,2023-12-31,64766,RAMBUS INC,RMBS,750917106,14.0,12,USA,"Rambus Inc. manufactures and sells semiconductor products in the United States, South Korea, Singapore, and internationally.",San Jose,Rambus Inc,,12,4530.0,453010.0,45.0,45301020.0,533110.0,6794,175.0,976.0,C,0.0
A,USD,STD,INDL,C,315374.0,2015-10-31,5788,HURCO COS INC,HURC,447324104,14.0,10,USA,"Hurco Companies, Inc., an industrial technology company, designs, manufactures, and sells computerized machine tools to companies in the metal cutting industry worldwide.",Indianapolis,Hurco Cos Inc,,10,2010.0,201060.0,20.0,20106020.0,333517.0,3541,230.0,940.0,C,0.0
A,USD,STD,INDL,C,,2023-12-31,22872,ISHARES MSCI INTL QUALITY FA,IQLT,46434V456,17.0,12,USA,"iShares Trust - iShares MSCI Intl Quality Factor ETF is an exchange traded fund launched by BlackRock, Inc. It is managed by BlackRock Fund Advisors. It invests in public equity markets of global ex-US region. It invests in stocks of companies operating across diversified sectors.",San Francisco,iShares MSCI Intl Quality Factor ETF,,12,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,1517228.0,2019-12-31,18036,COMMSCOPE HOLDING CO INC,COMM,20337X109,14.0,12,USA,"CommScope Holding Company, Inc. provides infrastructure solutions for communications, data center, and entertainment networks.",Claremont,CommScope Holding Co Inc,,12,4520.0,452010.0,45.0,45201020.0,334220.0,3663,,,C,0.0
